Classification Level,Count
Bacillus sp. (in: Bacteria),4220
Lactobacillus plantarum,4565
Lactococcus lactis,2196
Klebsiella pneumoniae,5472
Campylobacter jejuni,1599
Enterococcus faecalis,1864
Stenotrophomonas maltophilia,1515
Lactobacillus fermentum,2270
Streptococcus pneumoniae,7825
Bacillus subtilis,5780
Escherichia coli,9060
Listeria monocytogenes,2756
Enterococcus durans,1279
Salmonella enterica subsp. enterica serovar Typhi,2849
Neisseria meningitidis,1882
Bacillus licheniformis,2683
Streptomyces sp.,2301
Enterococcus faecium,3164
Bordetella pertussis,1376
Pseudomonas sp.,2483
Enterobacter cloacae,2057
Pseudomonas aeruginosa,4827
Bacillus megaterium,1935
Salmonella enterica,1803
Bacillus thuringiensis,1590
Leuconostoc mesenteroides,1170
Aeromonas hydrophila,1101
Staphylococcus epidermidis,1086
Mycobacterium abscessus,1004
Bacillus pumilus,2196
Bacillus amyloliquefaciens,2015
Serratia marcescens,1314
Staphylococcus aureus,5752
Acinetobacter baumannii,2288
Pseudomonas putida,1534
Pseudomonas fluorescens,1248
Clostridioides difficile,2171
Mycobacterium tuberculosis,3798
Streptococcus suis,1474
Bacillus cereus,4594
Vibrio parahaemolyticus,1339
Bacillus velezensis,1436
Streptococcus agalactiae,1548
Bacillus aryabhattai,1030
Lactobacillus helveticus,1467
Haemophilus influenzae,1044
bacterium,1199
