Classification Level,Count
Gluconobacter cerinus,31
Bacillus endophyticus,202
Loktanella salsilacus,22
Nonomuraea kuesteri,16
Cardiobacterium hominis,10
Micrococcus terreus,10
Paracoccus denitrificans,65
Pseudomonas cichorii,69
Streptococcus pneumoniae,7825
Enterobacter cloacae,2057
Bacillus amyloliquefaciens,2015
Bacillus velezensis,1436
Streptococcus agalactiae,1548
Leuconostoc lactis,480
Klebsiella pneumoniae,5472
Bacillus licheniformis,2683
Salmonella enterica subsp. enterica serovar Typhimurium,671
Haemophilus influenzae,1044
Leuconostoc mesenteroides,1170
Tolypothrix sp. PCC 7504,12
Leptospirillum ferrooxidans,32
Staphylococcus aureus,5752
Pectobacterium carotovorum subsp. odoriferum,81
Bacillus halotolerans,379
Salmonella enterica subsp. enterica serovar Typhi,2849
Bacillus thuringiensis,1590
Klebsiella pneumoniae subsp. ozaenae,21
Escherichia coli,9060
Lactobacillus plantarum,4565
Lactobacillus helveticus,1467
Pseudomonas orientalis,64
Streptomyces rishiriensis,23
Bacillus megaterium,1935
Proteus mirabilis,540
Lactobacillus paracasei,749
Blautia obeum,18
Micrococcus luteus,451
Acinetobacter baumannii,2288
Lachnospiraceae bacterium,65
Clostridioides difficile,2171
Moraxella bovoculi,78
Acinetobacter guillouiae,83
Bacillus koreensis,28
Vibrio parahaemolyticus,1339
Pseudomonas plecoglossicida,265
Bradyrhizobium canariense,56
[Clostridium] leptum,145
Polynucleobacter asymbioticus,300
Brachyspira innocens,58
Rhodococcus hoagii,145
Pseudomonas syringae,204
Bacillus paralicheniformis,173
Eggerthella lenta,152
Pseudomonas lini,60
Pseudomonas aeruginosa,4827
Mycobacterium intracellulare,106
Enterococcus lactis,148
Lactobacillus rhamnosus,444
Acinetobacter sp. 1294243,10
Streptococcus salivarius,198
Streptomyces thermoviolaceus,26
Brevibacillus choshinensis,30
Pantoea dispersa,209
Yersinia ruckeri,132
Bacillus anthracis,999
Herbaspirillum seropedicae,48
Fusobacterium necrophorum subsp. funduliforme,53
Pasteurella multocida,426
Mycobacterium tuberculosis,3798
Acinetobacter parvus,35
Candidatus Riesia pediculicola,15
Vibrio alginolyticus,618
Mycobacterium abscessus subsp. massiliense,318
Acetobacter pasteurianus,238
Cronobacter sakazakii,780
Planomicrobium okeanokoites,78
Kocuria rosea,141
Pediococcus ethanolidurans,81
Glaesserella parasuis,291
Aerococcus urinaeequi,48
Pandoraea pnomenusa,41
Micromonospora echinospora,48
Rhodopirellula baltica,117
Bacillus cytotoxicus,151
Acinetobacter radioresistens,152
Pseudomonas fluorescens,1248
Acinetobacter junii,207
bacterium,1199
Bacillus cereus,4594
Pediococcus pentosaceus,640
Salmonella enterica subsp. enterica serovar Weltevreden,143
Paenibacillus larvae,122
Carnobacterium maltaromaticum,186
Mycobacterium kyorinense,13
Enterococcus faecalis,1864
Sphingopyxis chilensis,16
Janthinobacterium lividum,119
Dickeya chrysanthemi,167
Leuconostoc gelidum subsp. gasicomitatum,36
Salmonella enterica,1803
Bacillus subtilis,5780
Klebsiella michiganensis,88
Lactobacillus agilis,44
Macrococcus caseolyticus,101
Enterococcus durans,1279
Staphylococcus simulans,93
Candidatus Turbabacter delicatus,13
Bordetella pertussis,1376
Acetobacter malorum,63
Prochlorococcus marinus,13
Pediococcus acidilactici,334
Nocardia nova,98
Enterococcus faecium,3164
Bacillus safensis,766
Rhodobacter capsulatus,26
Raoultella ornithinolytica,235
Bacillus sp. (in: Bacteria),4220
Brevundimonas aurantiaca,33
Staphylococcus muscae,13
Marinobacter algicola,78
Staphylococcus hominis,327
Acidaminococcus intestini,26
Oceanobacillus oncorhynchi subsp. incaldanensis,26
Pseudomonas mosselii,87
Lactococcus garvieae,479
Citrobacter koseri,130
Histophilus somni,116
Aminobacter aminovorans,25
Dickeya zeae,57
Acinetobacter bereziniae,30
Mycobacterium colombiense,23
[Enterobacter] aerogenes,118
Geobacillus sp. 12AMOR1,10
Dietzia maris,95
Shigella dysenteriae,213
Lactobacillus pentosus,352
Shewanella sp. ANA-3,10
Aerococcus sanguinicola,16
Salmonella enterica subsp. enterica serovar Dublin,97
Pseudomonas koreensis,236
Bradyrhizobium elkanii,260
Candidatus Sulcia muelleri,390
Exiguobacterium acetylicum,103
Terrisporobacter mayombei,24
Planococcus maritimus,73
Anaplasma ovis,58
Streptococcus pyogenes,790
Paenarthrobacter nicotinovorans,75
Edwardsiella ictaluri,81
Xenorhabdus nematophila,54
[Clostridium] paradoxum,17
Staphylococcus epidermidis,1086
Bacillus bingmayongensis,38
Streptomyces hundungensis,13
Mycobacterium marinum,37
Lysinibacillus sphaericus,468
Streptomyces microflavus,154
Lactobacillus gasseri,123
Deinococcus actinosclerus,10
Pantoea agglomerans,782
Salmonella enterica subsp. enterica serovar Infantis,108
Komagataeibacter europaeus,60
Pseudomonas stutzeri,919
Klebsiella aerogenes,301
Bacillus firmus,468
Salmonella enterica subsp. enterica serovar Paratyphi A,643
Cronobacter universalis NCTC 9529,10
Mycoplasmopsis arginini,23
Aeromonas hydrophila,1101
Chlamydia pneumoniae,36
Campylobacter coli,938
Listeria monocytogenes,2756
Halarcobacter bivalviorum,10
Eubacterium xylanophilum,10
Yersinia pestis Antiqua,14
Streptomyces rimosus,46
Brevundimonas bullata,38
Acinetobacter pittii,237
Bacteroides coprocola,22
