Classification Level,Count
Tsukamurella,140
Actinomyces,2863
Corynebacterium,34063
Glutamicibacter,485
Leifsonia,175
Pseudoclavibacter,124
Cutibacterium,30132
Rothia,3418
Streptomyces,11503
Micrococcus,1526
Janibacter,526
Paenarthrobacter,395
Arthrobacter,1729
Bifidobacterium,1447
Crossiella,360
Mycobacterium,6539
Brevibacterium,977
Rhodococcus,1917
Microbacterium,3089
Micromonospora,1365
Lawsonella,2981
Pseudarthrobacter,1125
Saccharopolyspora,142
Gordonia,790
Nocardiopsis,648
Turicella,200
Kocuria,1714
Nocardia,1042
Cellulomonas,232
Nocardioides,961
Brachybacterium,447
Tessaracoccus,147
Nesterenkonia,109
Trueperella,103
Pseudonocardia,538
uncultured,867
Curtobacterium,684
Amycolatopsis,340
Candidatus Aquiluna,254
Aeromicrobium,134
Actinomadura,381
Cryobacterium,191
Agromyces,207
hgcI clade,700
Actinoplanes,179
Cellulosimicrobium,207
Pseudopropionibacterium,202
Nonomuraea,702
Marmoricola,101
Clavibacter,150
Kribbella,113
Varibaculum,103
Tetrasphaera,188
Verrucosispora,141
Streptosporangium,658
Dietzia,571
Salinispora,206
Williamsia,116
Agrococcus,167
Blastococcus,132
F0332,147
Dermabacter,156
Propionibacterium,114
Microbispora,106
Kitasatospora,246
Leucobacter,301
Paeniglutamicibacter,133
Friedmanniella,111
Nakamurella,110
Promicromonospora,107
Glycomyces,101
Saccharomonospora,159
