2023-05-19 23:39:40 INFO     Starting training with lr=0.01, n_epoch=100
2023-05-19 23:41:32 INFO     Epoch: 1 	Training Loss: 13.443086 	Test Loss: 1.963649 	Epoch Time: 111.83s 	Total Time: 111.83s
2023-05-19 23:41:33 INFO     Epoch: 2 	Training Loss: 1.924762 	Test Loss: 1.969438 	Epoch Time: 0.76s 	Total Time: 112.60s
2023-05-19 23:41:34 INFO     Epoch: 3 	Training Loss: 1.920578 	Test Loss: 1.984080 	Epoch Time: 0.73s 	Total Time: 113.33s
2023-05-19 23:41:34 INFO     Epoch: 4 	Training Loss: 1.918536 	Test Loss: 1.942850 	Epoch Time: 0.73s 	Total Time: 114.06s
2023-05-19 23:41:35 INFO     Epoch: 5 	Training Loss: 1.915726 	Test Loss: 1.941077 	Epoch Time: 0.73s 	Total Time: 114.80s
2023-05-19 23:41:36 INFO     Epoch: 6 	Training Loss: 1.916237 	Test Loss: 1.943971 	Epoch Time: 0.73s 	Total Time: 115.53s
2023-05-19 23:41:37 INFO     Epoch: 7 	Training Loss: 1.916235 	Test Loss: 1.942874 	Epoch Time: 0.74s 	Total Time: 116.27s
2023-05-19 23:41:37 INFO     Epoch: 8 	Training Loss: 1.914147 	Test Loss: 1.940220 	Epoch Time: 0.75s 	Total Time: 117.02s
2023-05-19 23:41:38 INFO     Epoch: 9 	Training Loss: 1.916248 	Test Loss: 1.938443 	Epoch Time: 0.73s 	Total Time: 117.75s
2023-05-19 23:41:39 INFO     Epoch: 10 	Training Loss: 1.915109 	Test Loss: 1.940124 	Epoch Time: 0.73s 	Total Time: 118.49s
2023-05-19 23:41:40 INFO     Epoch: 11 	Training Loss: 1.915548 	Test Loss: 1.941233 	Epoch Time: 0.74s 	Total Time: 119.22s
2023-05-19 23:41:40 INFO     Epoch: 12 	Training Loss: 1.914317 	Test Loss: 1.941407 	Epoch Time: 0.74s 	Total Time: 119.96s
2023-05-19 23:41:41 INFO     Epoch: 13 	Training Loss: 1.914638 	Test Loss: 1.942115 	Epoch Time: 0.74s 	Total Time: 120.70s
2023-05-19 23:41:42 INFO     Epoch: 14 	Training Loss: 1.914023 	Test Loss: 1.937005 	Epoch Time: 0.74s 	Total Time: 121.44s
2023-05-19 23:41:42 INFO     Epoch: 15 	Training Loss: 1.914129 	Test Loss: 1.946908 	Epoch Time: 0.74s 	Total Time: 122.17s
2023-05-19 23:41:43 INFO     Epoch: 16 	Training Loss: 1.914857 	Test Loss: 1.946025 	Epoch Time: 0.74s 	Total Time: 122.91s
2023-05-19 23:41:44 INFO     Epoch: 17 	Training Loss: 1.915736 	Test Loss: 1.941625 	Epoch Time: 0.74s 	Total Time: 123.65s
2023-05-19 23:41:45 INFO     Epoch: 18 	Training Loss: 1.914587 	Test Loss: 1.944897 	Epoch Time: 0.74s 	Total Time: 124.39s
2023-05-19 23:41:45 INFO     Epoch: 19 	Training Loss: 1.914979 	Test Loss: 1.940512 	Epoch Time: 0.74s 	Total Time: 125.12s
2023-05-19 23:41:46 INFO     Epoch: 20 	Training Loss: 1.914239 	Test Loss: 1.941804 	Epoch Time: 0.74s 	Total Time: 125.86s
2023-05-19 23:41:47 INFO     Epoch: 21 	Training Loss: 1.914519 	Test Loss: 1.942941 	Epoch Time: 0.73s 	Total Time: 126.59s
2023-05-19 23:41:48 INFO     Epoch: 22 	Training Loss: 1.914273 	Test Loss: 1.937801 	Epoch Time: 0.74s 	Total Time: 127.33s
2023-05-19 23:41:48 INFO     Epoch: 23 	Training Loss: 1.913529 	Test Loss: 1.941900 	Epoch Time: 0.74s 	Total Time: 128.06s
2023-05-19 23:41:49 INFO     Epoch: 24 	Training Loss: 1.913642 	Test Loss: 1.936590 	Epoch Time: 0.74s 	Total Time: 128.80s
2023-05-19 23:41:50 INFO     Epoch: 25 	Training Loss: 1.914118 	Test Loss: 1.936943 	Epoch Time: 0.74s 	Total Time: 129.54s
2023-05-19 23:41:51 INFO     Epoch: 26 	Training Loss: 1.913953 	Test Loss: 1.940327 	Epoch Time: 0.74s 	Total Time: 130.28s
2023-05-19 23:41:51 INFO     Epoch: 27 	Training Loss: 1.914646 	Test Loss: 1.938504 	Epoch Time: 0.74s 	Total Time: 131.01s
2023-05-19 23:41:52 INFO     Epoch: 28 	Training Loss: 1.913777 	Test Loss: 1.940971 	Epoch Time: 0.74s 	Total Time: 131.75s
2023-05-19 23:41:53 INFO     Epoch: 29 	Training Loss: 1.915403 	Test Loss: 1.938326 	Epoch Time: 0.74s 	Total Time: 132.48s
2023-05-19 23:41:54 INFO     Epoch: 30 	Training Loss: 1.913932 	Test Loss: 1.940104 	Epoch Time: 0.73s 	Total Time: 133.22s
2023-05-19 23:41:54 INFO     Epoch: 31 	Training Loss: 1.914729 	Test Loss: 1.941769 	Epoch Time: 0.73s 	Total Time: 133.95s
