Classification Level,Count
Salmonella enterica,17
Escherichia coli,80
Bacillus anthracis,10
Klebsiella pneumoniae,49
Bacillus pumilus,31
Lactococcus lactis,11
Bacillus sp. (in: Bacteria),44
Streptococcus agalactiae,21
Streptococcus pneumoniae,81
Bacillus subtilis,58
Bordetella pertussis,12
Bacillus megaterium,20
Salmonella enterica subsp. enterica serovar Paratyphi A,10
Pseudomonas fluorescens,14
Enterobacter cloacae,31
Streptococcus salivarius subsp. thermophilus,16
Staphylococcus aureus,50
Bacillus cereus,42
Acinetobacter baumannii,27
Burkholderia pseudomallei,13
Bacillus safensis,10
Haemophilus influenzae,15
Serratia marcescens,16
Enterococcus faecalis,28
Pseudomonas aeruginosa,51
Listeria monocytogenes,39
Lactobacillus helveticus,21
Lactobacillus fermentum,24
Lactobacillus plantarum,54
Neisseria meningitidis,22
Clostridioides difficile,16
Leuconostoc mesenteroides,10
Salmonella enterica subsp. enterica serovar Typhi,25
Lactobacillus paracasei,13
Pseudomonas putida,19
Bacillus amyloliquefaciens,22
Bacillus licheniformis,22
Enterococcus durans,14
Aeromonas hydrophila,12
Stenotrophomonas maltophilia,17
Campylobacter jejuni,15
Bacillus velezensis,12
Staphylococcus epidermidis,11
Enterococcus faecium,23
Bacillus thuringiensis,12
Streptococcus suis,12
Lactobacillus brevis,10
